query,expected_response
"You are walking along a river bank and see
an upturned canoe floating in the water.
You then notice someone getting pulled out
of the water.
They are lying on the bank, soaking wet and
unresponsive.","Take care to avoid putting yourself in danger when working near water.
Carry out a primary survey, if they are breathing normally put them in
the recovery position, remove wet clothing and keep them warm.
If not breathing normally, open the airway and begin CPR starting with 5 initial
rescue breaths."
"You are half way through your day’s walking
when your friend's foot starts to hurt.
It is the first time they have worn their new
walking boots and when they take off their
boot and sock they find that they have a
blister.","Wash the area with clean water and pat skin around blister dry.
Do not burst the blister unless it is very large and it hinders
mobility.
If unable to wash the area keep it as clean as possible.
Cover with an adhesive dressing. Make sure the pad of the plaster
is larger than the blister. Ideally use a special blister plaster.
Be aware of stopping in an outdoor environment e.g. will people in
your group get cold if you stop?"
"Towards the end of your expedition
everyone is starting to feel tired. One of
your team mates finds a perfect stick to
use as a walking aid.
After a few minutes they realise they
have got a splinter.","Gently clean the area around the splinter.
Using tweezers, draw the splinter out at the same angle it went in.
Gently squeeze the wound to encourage a little bleeding to dislodge
any remaining dirt from the wound.
Cover wound with a sterile dressing."
"You are waiting to be picked up at the end
of your expedition when someone
suddenly falls to the ground making a
funny noise and starts shaking
uncontrollably.","Move any objects that may cause harm away. Don't try to stop the
movements. Note the time the seizure started.
Protect the casualty’s head with soft clothing/towels/coats.
Loosen tight clothing around the casualty's neck.
Time the duration of the seizure, once the seizure is over, do a primary
survey.
If breathing normally, place in the recovery position.
Monitor vital signs until they recover.
If not breathing normally start CPR."
"You are walking to the pickup point at
the end of a hike when the person in front
of you trips over and bangs their head on
a large stone.","Sit the casualty down and apply a cold compress to the injury.
Assess their response using the AVPU scale and note if they are
confused.
Treat any scalp wounds.
Monitor and record vital signs and watch especially for changes in level
of response.
Advise them to seek medical advice if their condition worsens and if
they are over 65, have had brain surgery, are taking blood thinning.
medication or the injury was a result of alcohol or drug intoxication"
"You are at the campsite when you see
someone from a different group walk in with a
handful of berries.
They start vomiting as you go over to them.","Ask the casualty if they have been eating the berries, how many of
them and when. Reassure them. Monitor their breathing, pulse and level of response.
If they become unresponsive, open their airway and check breathing.
Treat for someone who is unresponsive. Use a face shield or mask to
give rescue breaths if required.
Never try to make the casualty vomit, but if they vomit keep some in a
bag or container and keep some of the berries and give it to the health
care professionals, this may help them identify and treat the poison."
"You are on a hike when you come across
another group of walkers.
They have stopped because one of the men is
suffering from pains in their chest and looks
pale and sweaty.
They don’t know what to do.","If there is no phone signal, ideally two people should go for help and
stay together if you are in a remote area. It is important that you do
not leave the casualty by their self.
Suggest that the casualty sits down in a supported half-sitting
position which is often the most comfortable position.
If you or the casualty have an aspirin 300mg then the he should
chew it slowly.
If they have any angina medication advise they take some.
Monitor and reassure the casualty until emergency help arrives.
Consider putting up an emergency shelter if it is cold and wet."
"A member of your group slips and hits their
back against a rock.
They cannot move or feel their legs or the
injury. They are panicking.","Try to calm them down, reassure them and advise them not to move.
Ask a bystander to call for emergency help from the relevant service
for the terrain you are on (Mountain Rescue, Ambulance, etc.).
Steady and support their head in a neutral position by spreading your
fingers and holding both sides of their head ensuring you do not cover
their ears, they need to be able to hear you.
Ask a bystander to cover the casualty to keep them dry and warm.
Consider yours, the groups and the casualty’s safety and the
environment’s potential dangers, do you need to use a group shelter?
Sleeping bag? Hypothermia risk?
Maintain the support to the head and neck until the emergency
services arrive, for as long as it takes."
"After a long days walking everyone is sat
outside their tents playing card games. As
the sun goes down the temperature starts to
drop.
Your friend is only wearing a t-shirt and
shorts. They start to shiver.","You should take your friend inside their tent for shelter as quickly
as possible.
Advise them to put on layers of clothing and make sure covered.
Help them into a sleeping bag and protect them from the ground
by laying on a sleeping mat.
Give warm drinks and high energy food if available."
"You walk into your tent to put your rucksack
away and find one of your group lying on
their inflatable sleeping mat not moving. You
can't wake them up.","Shout for help.
Do a primary survey (DR ABC).
If they are breathing normally put them in the recovery position. 
If they are not breathing normally commence CPR.
If they are not breathing normally ask a bystander to call for emergency help and bring an AED if available. If alone make
the call yourself, then commence CPR."
